index;shoot;identifier;total time
185;1;04-00-017;12.34989333152771
186;1;04-00-018;9.01915979385376
187;1;04-00-019;9.071683406829834
188;1;04-00-020;14.343090534210205
189;1;04-00-021;28.963408708572388
190;1;04-00-022;10.22439169883728
191;1;04-00-023;13.073384284973145
192;2;04-00-024;9.94306230545044
193;1;04-00-025;4.306928634643555
194;1;04-00-026;11.690987825393677
195;1;04-00-027;9.589045524597168
196;1;04-00-028;12.781506538391113
197;1;04-00-029;11.328854084014893
198;1;04-00-030;9.541722536087036
199;1;04-00-031;12.269300937652588
200;1;04-00-032;25.604424953460693
201;1;04-00-033;19.6654052734375
202;1;04-00-034;11.481259107589722
203;1;03-00-021;29.191585063934326
204;1;04-00-035;6.961822509765625e-05
205;1;04-00-036;6.5468902587890625
206;1;04-00-037;7.900601148605347
207;1;04-00-038;8.595486879348755
208;1;04-00-039;8.21747612953186
209;1;04-00-040;8.223884344100952
210;1;04-00-041;8.160760879516602
211;1;04-00-042;9.115473747253418
212;1;04-00-043;5.806353569030762
213;5;04-00-045;26.432905912399292
214;1;04-00-047;10.171159982681274
215;1;05-00-046;12.977793455123901
216;1;05-00-044;11.934100866317749
217;1;05-00-042;12.218135595321655
218;1;05-00-041;12.492054462432861
219;1;05-00-040;11.256120443344116
220;1;05-00-039;24.691118955612183
221;1;05-00-038;12.021360874176025
222;1;05-00-037;11.662333250045776
223;1;05-00-036;12.241838455200195
224;1;05-00-035;11.521400928497314
225;1;05-00-034;12.092444658279419
226;1;05-00-033;13.83398175239563
227;1;05-00-032;13.178447008132935
228;1;05-00-031;14.448266506195068
229;1;05-00-030;14.545158386230469
230;1;05-00-029;16.340400457382202
231;7;05-00-028;47.487348318099976
232;3;05-00-027;15.24817943572998
233;1;05-00-026;13.37377119064331
234;1;05-00-025;17.814747095108032
235;1;05-00-024;15.846081256866455
236;1;05-00-023;19.013962268829346
237;1;05-00-022;21.709455490112305
238;1;05-00-021;21.28145456314087
239;1;05-00-020;18.56078577041626
240;1;05-00-019;18.209680795669556
241;1;05-00-018;30.2712562084198
242;1;05-00-017;22.0156672000885
243;1;05-00-016;22.519277811050415
244;1;05-00-015;23.256682634353638
245;1;05-00-014;177.36950016021729
246;1;05-00-013;1.203096628189087
247;1;05-00-012;0.9668629169464111
248;1;05-00-011;0.7330784797668457
249;1;05-00-010;0.508770227432251
250;1;05-00-09;0.610485315322876
251;1;05-00-08;0.5378937721252441
252;1;05-00-07;0.536980390548706
253;1;05-00-06;0.6911013126373291
254;1;04-00-035;1.1934030055999756
255;1;04-00-036;1.6526927947998047
256;1;04-00-037;0.8424930572509766
257;1;04-00-038;0.8193793296813965
258;1;04-00-039;0.7843978404998779
259;1;04-00-040;0.8891804218292236
260;1;04-00-041;0.4239330291748047
261;1;04-00-042;0.36471104621887207
262;1;04-00-043;0.4001471996307373
263;1;04-00-045;3.105724573135376
264;1;04-00-047;1.0076236724853516
265;1;05-00-046;1.8960027694702148
266;1;05-00-044;1.6221592426300049
267;1;05-00-042;1.3743364810943604
268;1;05-00-041;1.2716526985168457
269;1;05-00-040;1.0326550006866455
270;1;05-00-039;1.0399415493011475
271;1;05-00-038;1.0911900997161865
272;1;05-00-037;1.1538803577423096
273;1;05-00-036;0.9545900821685791
274;1;05-00-035;0.08104467391967773
275;1;05-00-034;3.287071943283081
276;1;05-00-033;6.792654752731323
277;1;05-00-032;2.7273266315460205
278;1;05-00-031;1.0480852127075195
279;1;05-00-030;1.5549437999725342
280;1;05-00-029;3.1540074348449707
281;1;05-00-028;1.4448952674865723
282;1;05-00-027;1.3034348487854004
283;1;05-00-026;1.398890495300293
284;1;05-00-025;8.11411428451538
285;1;05-00-024;3.3577301502227783
286;1;05-00-023;2.3208911418914795
287;1;05-00-022;0.5127968788146973
288;1;05-00-021;0.8147192001342773
289;1;05-00-020;0.9519467353820801
290;1;05-00-019;1.0144352912902832
291;1;05-00-018;1.1709954738616943
292;1;05-00-017;1.1582884788513184
293;1;05-00-016;2.0117409229278564
294;1;05-00-015;4.502833366394043
295;1;05-00-014;5.027389049530029
296;1;05-00-013;11.489076137542725
297;1;05-00-012;16.562928199768066
298;1;05-00-011;17.699087858200073
299;1;05-00-010;14.496066570281982
300;4;05-00-09;54.93785548210144
301;2;05-00-08;16.247580528259277
302;2;05-00-07;18.60736894607544
303;3;05-00-06;23.289607763290405
304;1;04-00-035;0.8652949333190918
305;1;05-00-04;3.409385681152344e-05
306;1;05-00-02;10.281500339508057
307;1;06-00-01;11.427351474761963
308;2;06-00-03;17.616358041763306
309;1;06-00-05;11.68710970878601
310;1;06-00-06;12.954259872436523
311;1;06-00-07;13.272952556610107
312;1;06-00-08;13.059032678604126
313;1;06-00-09;14.555222511291504
314;1;06-00-010;13.298777103424072
315;1;06-00-011;12.304180145263672
316;1;06-00-012;14.286105871200562
317;1;06-00-013;13.078042984008789
318;1;06-00-014;11.879968166351318
319;1;06-00-015;13.435518980026245
320;1;06-00-016;13.40576720237732
321;1;06-00-017;12.592055559158325
322;1;06-00-018;13.004315614700317
323;1;06-00-019;14.427330732345581
324;1;06-00-020;13.783654689788818
325;1;06-00-021;14.295557975769043
326;1;06-00-022;14.440044641494751
327;1;06-00-023;15.075682401657104
328;1;06-00-024;14.93105149269104
329;1;06-00-025;16.430105447769165
330;1;06-00-026;15.743310689926147
331;1;06-00-027;16.69363522529602
332;1;06-00-028;15.869558811187744
333;1;06-00-029;17.115353107452393
334;1;06-00-030;14.287636280059814
335;1;06-00-031;18.8424289226532
336;1;06-00-032;17.96132230758667
337;1;06-00-033;1032.0205390453339
338;3;06-00-034;35.42939782142639
339;1;06-00-035;15.390219449996948
340;1;06-00-036;14.327155828475952
341;1;06-00-037;19.77409791946411
342;1;06-00-038;15.138657093048096
343;1;06-00-039;18.403441429138184
344;1;06-00-040;16.554033279418945
345;1;06-00-041;19.077754497528076
346;1;06-00-042;19.242557048797607
347;1;06-00-043;17.46315360069275
348;1;06-00-045;18.752569437026978
349;1;06-00-047;16.92737340927124
350;1;07-00-046;20.977099657058716
351;1;07-00-044;17.210651636123657
352;1;07-00-042;27.42798662185669
353;1;07-00-041;18.92086386680603
354;1;07-00-040;20.981191396713257
355;1;05-00-04;0.3199777603149414
356;1;07-00-039;7.605552673339844e-05
357;1;07-00-038;9.058992385864258
358;1;07-00-037;10.03807806968689
359;1;07-00-036;9.010703802108765
360;1;07-00-035;9.18244481086731
361;1;07-00-034;10.159783840179443
362;1;07-00-033;9.242017030715942
363;1;07-00-032;9.166349172592163
364;1;07-00-031;10.359878063201904
365;1;07-00-030;9.256506443023682
366;1;07-00-029;18.09893226623535
367;1;07-00-028;10.050313472747803
368;1;07-00-027;17.9446222782135
369;1;07-00-026;10.26042890548706
370;1;07-00-025;12.337214708328247
371;1;07-00-024;12.356098651885986
372;1;07-00-023;12.226285934448242
373;1;07-00-022;10.16647744178772
374;1;07-00-021;10.599143028259277
375;1;07-00-020;14.461894989013672
376;1;07-00-019;12.192920446395874
377;1;07-00-018;11.673007726669312
378;1;07-00-017;12.434410810470581
379;1;07-00-016;12.717286825180054
380;1;07-00-015;13.442692756652832
381;1;07-00-014;13.450860500335693
382;1;07-00-013;16.654208421707153
383;2;07-00-012;25.003711223602295
384;1;07-00-011;16.671651601791382
385;1;07-00-010;13.895850896835327
386;1;07-00-09;16.537914514541626
387;1;07-00-08;15.948350429534912
388;1;07-00-07;14.988991737365723
389;1;07-00-06;17.070934295654297
390;1;07-00-04;14.585771083831787
391;1;07-00-02;14.128951072692871
392;1;08-00-01;84.40557551383972
393;1;08-00-03;15.840826511383057
394;1;08-00-05;16.190001487731934
395;2;08-00-06;33.33523607254028
396;1;08-00-07;18.46769142150879
397;1;08-00-08;19.054293394088745
398;1;08-00-09;18.32978844642639
399;1;08-00-010;18.113927364349365
400;1;08-00-011;15.918760538101196
401;1;08-00-012;21.280672788619995
402;2;08-00-013;31.97133708000183
403;1;08-00-014;20.061144828796387
404;1;08-00-015;22.799100399017334
405;1;08-00-016;22.689306497573853
406;1;07-00-039;0.377396821975708
407;1;08-00-017;8.273124694824219e-05
408;1;08-00-018;8.914576053619385
409;1;08-00-019;55.66967535018921
410;1;08-00-020;7.139891862869263
411;1;08-00-021;7.63398551940918
412;1;08-00-022;14.388920068740845
413;1;08-00-023;7.456510305404663
414;1;08-00-025;7.359201908111572
415;1;08-00-026;7.025990009307861
416;1;08-00-027;8.492942333221436
417;1;08-00-028;7.482164621353149
418;1;08-00-029;7.984461545944214
419;1;08-00-030;7.743957996368408
420;1;08-00-031;8.819950342178345
421;1;08-00-032;8.265861511230469
